Scouter Initials,Match Number,Robot,Team Number,Starting Position,No Show,Cage Position,Moved?,Timer,Coral L1 Scored,Coral L2 Scored,Coral L3 Scored,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
JL,1,B1,3330,R1,False,SP2,True,9,2,1,4,4,0,2,5,1,0,5,0,5,0,3,3,4,2,5,3,0,5,0,5,0,No Card,Slow intake
JL,1,B3,3407,R3,False,SP1,True,10,0,1,4,1,3,3,3,4,3,2,4,3,1,4,2,2,1,4,4,0,4,0,0,1,No Card,Strong defense
JL,1,B2,3647,B1,False,SP2,False,6,2,2,1,2,3,3,4,4,4,3,1,5,0,1,3,4,3,0,0,0,0,0,0,2,Red,Strong defense
MP,1,R1,2421,R1,False,SP2,True,1,4,1,1,3,4,3,1,0,0,4,5,5,3,1,2,4,3,0,5,1,5,0,1,3,Yellow,
KS,1,B1,8797,R3,True,SP1,True,14,2,1,2,0,1,5,0,2,1,0,4,4,2,2,2,0,1,3,0,2,1,1,1,3,Yellow,Slow intake
JL,1,R2,7218,R1,True,SP3,False,14,0,5,4,5,5,2,4,0,3,0,2,4,3,3,1,2,5,5,2,4,5,4,1,4,Yellow,Strong defense
AR,2,R3,9336,B3,True,SP2,True,15,3,3,3,5,5,0,4,5,1,5,0,5,0,2,4,0,0,3,5,4,2,1,0,5,Red,Strong defense
KS,2,B2,1114,B3,False,SP1,True,6,5,3,2,0,1,2,2,0,0,3,3,5,0,2,0,5,3,3,1,3,2,1,1,0,Yellow,Slow intake
AR,2,R2,7142,B2,True,SP3,False,2,0,4,1,4,4,4,4,4,2,3,0,3,1,0,2,4,4,2,3,1,0,1,5,0,Yellow,Slow intake
JL,2,B2,3778,R3,False,SP2,True,2,5,3,1,1,4,4,1,4,1,1,3,1,2,5,3,4,4,4,2,2,2,0,2,3,Red,Strong defense
AR,2,B1,6734,B3,False,SP2,False,6,0,3,5,1,3,3,2,5,4,1,3,0,1,2,5,1,3,2,4,4,3,0,0,0,Red,
MP,2,R2,2886,R2,False,SP1,True,8,3,0,2,5,2,0,4,4,3,5,5,2,3,5,3,4,5,5,0,4,2,4,2,5,Red,
TX,3,R1,2447,R1,False,SP1,False,3,0,3,3,5,1,5,0,3,3,2,1,5,1,5,1,2,0,5,4,5,1,1,3,0,No Card,Slow intake
MP,3,B3,2771,B3,False,SP3,True,8,4,3,0,2,0,0,4,2,5,0,5,5,1,3,2,3,3,5,4,1,0,2,0,4,Red,Clean match
KS,3,B1,8488,B2,False,SP2,True,1,0,2,2,5,3,2,1,1,0,1,1,2,5,0,1,4,2,2,4,2,2,2,4,5,Yellow,Slow intake
AR,3,B2,4608,R2,False,SP3,True,1,5,4,5,0,1,2,0,1,4,2,2,3,0,2,4,5,0,3,0,4,3,3,3,0,No Card,Slow intake
AR,3,B3,8103,B3,False,SP3,False,8,4,4,3,3,0,4,0,2,5,1,2,5,2,2,2,0,1,1,5,1,0,1,1,1,Yellow,Clean match
KS,3,R2,4093,B2,True,SP2,True,13,4,5,3,5,2,3,0,1,5,2,3,0,5,0,2,2,0,0,0,5,3,5,1,0,No Card,Strong defense
AR,4,R3,2776,R2,False,SP3,False,7,0,0,5,0,0,5,4,5,3,5,0,1,0,3,1,1,3,2,0,1,0,1,3,4,Yellow,Slow intake
KS,4,R1,2211,B3,False,SP2,True,11,0,4,1,3,4,5,2,0,1,0,0,2,0,5,3,1,0,0,0,4,0,4,4,4,Yellow,Slow intake
KS,4,B1,6147,R2,False,SP1,True,12,4,3,5,3,0,5,3,1,3,2,3,2,5,2,1,0,5,0,5,3,2,2,5,2,Red,
JL,4,R3,4425,R3,False,SP2,True,7,2,1,4,4,5,4,2,3,4,0,0,3,0,5,0,2,2,2,0,3,3,3,2,1,Red,Clean match
AR,4,R2,2602,B1,False,SP3,True,7,0,3,2,3,4,0,4,3,4,5,2,3,5,4,5,1,4,3,4,5,4,3,4,4,Yellow,Slow intake
JL,4,R2,7698,B2,False,SP3,True,13,4,5,3,4,4,2,1,2,4,1,0,2,3,4,0,0,5,3,0,0,0,5,5,1,Red,Slow intake
KS,5,B2,1773,R2,False,SP1,True,15,1,0,1,0,5,1,1,1,2,0,4,3,3,2,4,1,1,3,1,4,2,5,5,3,Red,
KS,5,B2,6759,R3,False,SP3,True,1,1,1,4,2,0,2,2,3,1,5,5,4,4,2,1,5,5,4,4,1,4,3,4,0,No Card,Strong defense
KS,5,B1,8255,B2,False,SP3,True,11,2,2,3,3,1,5,5,5,2,2,1,4,5,3,5,3,3,4,4,5,4,2,0,2,Yellow,Slow intake
TX,5,B2,1746,B1,False,SP1,False,11,0,3,5,4,2,1,4,1,3,5,2,4,3,0,2,0,4,2,1,5,2,3,3,3,Yellow,Slow intake
JL,5,R2,1257,B1,False,SP3,False,9,5,2,1,1,4,4,0,1,2,3,4,3,3,0,0,2,1,2,5,5,2,5,2,1,No Card,Strong defense
AR,5,B1,9368,R1,False,SP2,True,8,1,3,2,0,3,1,2,4,4,4,5,0,5,3,1,2,1,5,3,2,3,3,3,0,Yellow,
JL,6,B1,8247,B2,False,SP2,False,11,4,3,0,1,5,0,4,4,3,1,5,5,2,3,1,4,0,5,3,5,4,0,0,1,Red,
KS,6,R3,9518,B3,False,SP2,False,10,4,1,3,2,5,5,1,2,1,5,2,5,0,0,1,3,0,1,1,4,5,3,4,5,Red,Strong defense
